age,educational-num,marital-status,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
65,9,Married,White,Male,0,0,40,US,<=50K
36,13,Married,White,Male,0,0,40,US,>50K
22,3,NotMarried,White,Male,0,0,50,Others,<=50K
17,6,NotMarried,White,Male,0,0,40,US,<=50K
20,9,NotMarried,White,Male,0,0,40,US,<=50K
65,14,Married,White,Male,0,0,50,US,>50K
44,11,Married,White,Male,0,0,45,US,>50K
36,9,Married,White,Male,0,0,40,US,<=50K
29,7,Married,White,Male,0,0,40,US,<=50K
20,10,NotMarried,White,Male,0,0,32,US,<=50K
28,11,Married,White,Female,0,0,36,US,>50K
39,4,Married,White,Male,0,0,40,Others,<=50K
54,10,Married,White,Male,3908,0,50,US,<=50K
52,7,NotMarried,Black,Female,0,0,18,US,<=50K
56,9,NotMarried,White,Female,0,0,50,US,<=50K
18,10,NotMarried,White,Male,0,0,20,US,<=50K
39,9,NotMarried,Black,Male,0,0,40,US,<=50K
21,10,NotMarried,White,Female,0,1721,24,US,<=50K
22,9,NotMarried,White,Male,14084,0,60,US,>50K
38,5,Married,White,Male,0,0,54,Others,<=50K
21,10,NotMarried,White,Female,0,0,40,US,<=50K
63,9,Married,White,Male,0,0,40,US,<=50K
34,13,Married,White,Male,3103,0,50,US,>50K
42,9,Married,White,Male,5178,0,50,US,>50K
33,9,Married,White,Male,0,0,40,US,<=50K
30,13,NotMarried,White,Female,0,0,50,US,<=50K
39,10,NotMarried,White,Male,0,0,40,US,<=50K
26,14,NotMarried,White,Female,0,0,40,US,<=50K
33,9,NotMarried,White,Female,0,0,40,US,<=50K
47,9,NotMarried,White,Female,0,0,40,US,<=50K
41,13,NotMarried,White,Female,0,0,40,Others,<=50K
41,12,Married,White,Male,15024,0,60,US,>50K
19,10,NotMarried,White,Male,0,0,20,US,<=50K
46,9,NotMarried,White,Male,0,0,40,US,<=50K
43,9,Married,White,Male,0,0,48,US,<=50K
55,10,Married,White,Male,15024,0,45,US,>50K
46,11,Married,White,Male,0,0,40,US,<=50K
30,9,Married,White,Male,0,0,40,Others,<=50K
21,10,NotMarried,White,Female,0,0,40,US,<=50K
46,10,Married,Other,Male,0,0,40,Others,<=50K
17,6,NotMarried,White,Male,0,0,40,US,<=50K
41,9,Married,White,Male,0,0,50,US,<=50K
69,9,Married,White,Male,0,0,30,US,<=50K
50,9,Married,White,Male,0,0,40,US,<=50K
20,10,NotMarried,White,Female,0,0,40,US,<=50K
45,10,Married,White,Male,0,0,50,US,<=50K
23,13,NotMarried,White,Male,0,0,40,US,<=50K
24,10,NotMarried,White,Male,0,1876,40,US,<=50K
44,9,Married,White,Male,99999,0,50,Others,>50K
31,10,Married,White,Male,0,0,50,US,<=50K
43,9,NotMarried,White,Female,0,0,44,US,<=50K
20,7,NotMarried,White,Female,0,0,10,US,<=50K
55,9,Married,White,Male,0,0,56,US,>50K
24,10,NotMarried,White,Male,0,0,40,US,<=50K
41,14,Married,White,Female,7688,0,10,US,>50K
59,13,NotMarried,White,Female,0,0,25,US,<=50K
49,4,NotMarried,Black,Male,0,0,20,US,<=50K
33,14,Married,White,Female,5178,0,10,US,>50K
59,13,NotMarried,White,Male,0,0,40,US,<=50K
34,14,NotMarried,Amer-Indian-Eskimo,Male,0,0,40,US,<=50K
20,9,NotMarried,White,Male,0,0,40,US,<=50K
25,13,NotMarried,White,Female,0,0,40,US,<=50K
49,6,Married,White,Male,0,0,40,US,<=50K
59,9,Married,White,Male,0,0,40,US,>50K
20,9,NotMarried,White,Female,0,0,40,US,<=50K
51,10,Married,White,Female,0,0,18,US,<=50K
33,10,NotMarried,Black,Female,0,0,35,US,<=50K
22,10,NotMarried,Black,Male,0,0,39,US,<=50K
58,5,NotMarried,White,Female,0,0,40,US,<=50K
52,9,NotMarried,White,Female,0,0,28,US,<=50K
36,6,NotMarried,White,Female,0,0,40,US,<=50K
41,9,Married,White,Male,0,0,40,US,<=50K
28,9,NotMarried,White,Male,2597,0,40,US,<=50K
19,10,NotMarried,Black,Male,0,0,16,US,<=50K
18,9,NotMarried,White,Female,0,0,28,US,<=50K
18,9,NotMarried,White,Female,0,0,48,US,<=50K
28,10,Married,White,Male,0,0,40,US,<=50K
29,11,Married,White,Male,0,0,40,US,>50K
20,9,NotMarried,White,Female,0,0,20,US,<=50K
40,10,Married,White,Male,0,0,40,US,<=50K
26,9,NotMarried,White,Male,0,0,40,US,<=50K
46,9,Married,White,Male,0,0,40,US,<=50K
23,7,NotMarried,White,Female,0,0,24,US,<=50K
44,9,Married,White,Female,0,0,40,US,<=50K
43,13,NotMarried,White,Female,0,0,40,US,>50K
31,13,NotMarried,White,Female,0,0,60,US,<=50K
18,10,NotMarried,White,Female,0,0,25,US,<=50K
19,10,NotMarried,White,Male,0,0,30,US,<=50K
41,10,NotMarried,White,Female,0,0,40,US,<=50K
41,9,NotMarried,White,Female,0,0,40,US,<=50K
69,9,NotMarried,White,Female,0,0,25,US,<=50K
48,16,Married,White,Female,0,0,40,US,>50K
28,9,NotMarried,White,Male,0,0,40,US,<=50K
27,9,Married,White,Male,0,0,60,Others,>50K
41,14,Married,White,Male,0,2415,50,US,>50K
41,10,Married,White,Male,0,0,40,US,<=50K
24,9,NotMarried,Black,Female,0,0,40,US,<=50K
20,9,NotMarried,White,Female,0,0,40,US,<=50K
42,16,Married,White,Male,0,0,41,US,>50K
57,9,Married,Black,Male,0,0,48,US,<=50K
30,12,NotMarried,White,Female,0,0,40,US,<=50K
36,9,Married,White,Male,0,0,60,US,>50K
49,4,Married,Black,Male,0,0,40,US,<=50K
33,9,Married,White,Female,0,0,35,US,<=50K
23,6,Married,White,Male,0,0,40,US,<=50K
46,14,Married,White,Male,0,0,40,US,<=50K
18,10,NotMarried,Asian-Pac-Islander,Female,0,0,22,Others,<=50K
40,9,Married,White,Male,7688,0,55,US,>50K
43,9,Married,White,Male,0,1887,45,US,>50K
34,14,NotMarried,White,Female,0,0,30,US,<=50K
47,9,NotMarried,White,Female,0,0,30,US,<=50K
44,11,NotMarried,White,Female,0,0,30,US,<=50K
33,9,Married,White,Male,0,0,40,US,>50K
55,13,Married,White,Male,15024,0,50,US,>50K
19,9,NotMarried,White,Male,2907,0,30,US,<=50K
28,10,NotMarried,Black,Male,0,0,14,US,<=50K
27,7,Married,Black,Female,0,0,32,US,<=50K
50,4,Married,White,Male,0,0,20,US,<=50K
22,7,NotMarried,White,Male,0,0,40,US,<=50K
40,13,Married,White,Male,0,1887,45,US,>50K
25,10,NotMarried,White,Female,0,0,40,US,<=50K
26,9,NotMarried,White,Male,0,0,40,US,<=50K
22,13,NotMarried,White,Male,0,0,25,US,<=50K
42,10,NotMarried,Black,Female,0,625,40,US,<=50K
38,13,NotMarried,White,Male,0,0,40,US,<=50K
55,7,Married,White,Male,0,0,30,US,<=50K
32,9,Married,White,Male,0,0,40,US,<=50K
22,9,Married,White,Male,0,0,45,US,<=50K
29,13,NotMarried,White,Male,0,0,40,US,<=50K
46,14,Married,White,Male,0,0,45,US,>50K
31,10,Married,White,Male,0,0,40,US,>50K
58,16,Married,White,Male,0,0,16,US,>50K
42,9,Married,White,Male,0,0,45,US,<=50K
18,9,NotMarried,White,Male,0,0,25,US,<=50K
58,9,NotMarried,White,Male,0,0,33,US,<=50K
54,9,Married,White,Male,0,1887,40,US,>50K
34,14,NotMarried,White,Male,0,0,40,US,<=50K
26,13,NotMarried,White,Female,0,0,40,US,<=50K
61,8,Married,White,Male,0,0,60,US,<=50K
48,14,NotMarried,Black,Female,0,0,40,US,<=50K
36,10,Married,White,Male,0,0,45,US,>50K
24,11,Married,White,Male,0,0,45,US,<=50K
40,10,Married,White,Male,0,0,37,US,<=50K
33,9,Married,White,Male,0,0,50,US,>50K
37,10,Married,White,Male,0,1887,40,US,>50K
34,14,NotMarried,White,Male,4650,0,40,US,<=50K
56,10,Married,White,Male,15024,0,40,US,>50K
28,9,Married,White,Female,0,0,38,US,>50K
37,13,NotMarried,White,Female,0,0,55,US,<=50K
44,9,NotMarried,Black,Female,0,0,40,US,<=50K
64,10,Married,White,Male,0,0,8,US,<=50K
54,9,NotMarried,White,Male,0,0,45,US,<=50K
23,9,NotMarried,White,Male,0,0,50,US,<=50K
34,13,Married,Black,Male,0,0,40,Others,<=50K
22,9,NotMarried,White,Female,0,0,45,US,<=50K
33,13,Married,White,Male,0,1977,40,US,>50K
39,13,NotMarried,White,Male,0,0,50,US,>50K
47,10,NotMarried,Black,Female,0,0,37,US,<=50K
79,4,NotMarried,White,Male,0,0,40,US,<=50K
26,9,NotMarried,Black,Female,0,0,55,US,<=50K
31,10,NotMarried,White,Female,0,0,40,US,<=50K
44,10,NotMarried,White,Male,0,0,45,US,<=50K
42,15,Married,White,Female,0,0,50,US,>50K
19,9,NotMarried,White,Female,0,0,40,US,<=50K
27,9,Married,White,Male,0,0,40,US,>50K
51,10,Married,White,Male,0,0,40,US,>50K
28,13,Married,White,Male,0,0,50,US,<=50K
57,13,NotMarried,White,Male,0,0,45,US,<=50K
45,13,NotMarried,White,Female,0,0,40,US,<=50K
50,11,Married,White,Male,0,0,40,US,>50K
34,13,Married,White,Male,0,0,54,US,<=50K
45,4,Married,Black,Male,0,0,40,US,<=50K
73,9,Married,White,Male,0,0,20,US,<=50K
34,13,Married,White,Female,0,0,50,US,>50K
31,10,Married,White,Male,0,0,55,US,>50K
19,7,NotMarried,White,Male,0,0,12,US,<=50K
25,10,NotMarried,White,Female,0,0,50,US,<=50K
38,11,NotMarried,White,Female,6497,0,40,US,<=50K
39,13,Married,White,Male,0,0,40,US,<=50K
23,13,NotMarried,Black,Female,0,0,32,US,<=50K
49,9,Married,White,Male,0,0,40,US,<=50K
33,9,NotMarried,White,Male,0,0,32,US,<=50K
21,3,NotMarried,White,Male,0,0,38,Others,<=50K
31,11,NotMarried,White,Male,0,0,40,US,<=50K
23,13,NotMarried,White,Female,0,0,45,US,<=50K
34,13,Married,Asian-Pac-Islander,Male,0,0,40,Others,<=50K
25,9,NotMarried,Asian-Pac-Islander,Female,0,0,40,Others,<=50K
39,9,NotMarried,White,Male,0,0,40,US,<=50K
52,9,Married,White,Male,0,0,40,US,>50K
63,5,Married,White,Male,7688,0,40,US,>50K
41,10,Married,White,Male,0,0,40,US,<=50K
46,13,Married,White,Male,15024,0,38,US,>50K
53,9,Married,White,Male,0,0,40,US,<=50K
25,5,NotMarried,White,Female,1055,0,40,US,<=50K
77,10,Married,White,Male,0,0,35,US,<=50K
18,8,NotMarried,White,Male,0,0,40,US,<=50K
38,15,Married,White,Male,0,0,50,US,<=50K
55,14,NotMarried,Asian-Pac-Islander,Female,0,0,50,Others,<=50K
34,9,Married,White,Male,0,0,40,US,>50K
80,9,Married,White,Male,0,0,30,US,<=50K
34,11,NotMarried,White,Female,0,0,60,US,<=50K
52,10,Married,White,Male,5013,0,40,US,<=50K
42,9,NotMarried,Black,Female,0,0,28,Others,<=50K
26,10,NotMarried,White,Female,0,0,40,US,<=50K
31,9,Married,White,Male,0,0,40,US,<=50K
25,9,NotMarried,White,Female,0,0,35,US,<=50K
55,9,Married,White,Male,0,2057,60,US,<=50K
19,10,NotMarried,White,Female,0,0,12,US,<=50K
62,10,Married,White,Male,0,0,32,US,<=50K
22,10,NotMarried,White,Female,0,0,20,US,<=50K
39,9,Married,White,Female,0,0,50,US,<=50K
35,9,Married,White,Male,0,0,40,US,<=50K
28,9,Married,White,Female,0,0,40,US,<=50K
47,9,Married,White,Male,0,0,70,US,>50K
44,9,Married,White,Male,0,0,40,US,<=50K
21,10,NotMarried,White,Male,0,0,15,US,<=50K
35,11,NotMarried,White,Male,0,0,50,US,<=50K
24,13,Married,White,Male,0,0,40,US,>50K
42,13,NotMarried,White,Male,0,0,40,Others,<=50K
28,13,NotMarried,White,Male,0,0,50,US,<=50K
21,10,NotMarried,White,Male,0,0,35,US,<=50K
62,10,NotMarried,Black,Male,4650,0,40,US,<=50K
39,9,NotMarried,Black,Female,0,0,40,US,<=50K
30,9,NotMarried,White,Male,0,0,40,US,<=50K
72,15,NotMarried,White,Male,0,1429,20,US,<=50K
50,10,Married,White,Female,0,0,50,US,<=50K
28,14,NotMarried,White,Male,0,0,40,US,<=50K
29,10,NotMarried,White,Female,0,0,40,US,<=50K
26,13,NotMarried,White,Female,0,0,40,US,<=50K
27,14,NotMarried,White,Female,0,0,40,US,<=50K
29,10,Married,White,Male,3103,0,40,US,>50K
61,9,Married,White,Male,0,0,40,US,<=50K
29,6,Married,White,Male,0,0,25,US,<=50K
21,10,NotMarried,White,Female,0,0,30,US,<=50K
31,7,Married,White,Female,0,0,20,US,<=50K
25,9,Married,White,Male,0,0,75,US,<=50K
58,6,Married,White,Male,0,0,40,US,>50K
64,10,Married,White,Female,0,0,40,US,>50K
46,14,NotMarried,White,Male,0,0,38,US,<=50K
53,9,Married,White,Male,0,0,35,US,>50K
19,9,NotMarried,Amer-Indian-Eskimo,Female,0,0,35,US,<=50K
42,9,NotMarried,Black,Male,0,0,52,US,<=50K
18,7,NotMarried,White,Male,0,0,24,US,<=50K
58,13,Married,White,Male,15024,0,50,US,>50K
20,10,NotMarried,Black,Male,0,0,60,US,<=50K
35,9,Married,White,Male,0,0,40,US,>50K
32,9,Married,White,Male,0,0,38,US,>50K
23,9,NotMarried,White,Female,0,0,25,US,<=50K
31,10,NotMarried,White,Female,0,0,40,US,<=50K
33,13,Married,Black,Male,0,0,55,US,<=50K
41,10,NotMarried,White,Female,0,0,48,US,<=50K
22,9,NotMarried,Black,Male,0,0,40,US,<=50K
46,10,Married,White,Male,0,0,40,US,>50K
61,10,Married,Black,Male,0,0,40,US,<=50K
30,9,NotMarried,Black,Male,0,0,40,US,<=50K
42,9,Married,White,Male,0,0,55,US,>50K
63,6,Married,White,Male,0,0,40,US,<=50K
26,10,Married,White,Male,0,0,40,US,<=50K
42,6,NotMarried,White,Female,0,0,40,US,<=50K
23,10,Married,White,Male,0,0,40,US,<=50K
25,9,NotMarried,White,Male,0,1590,40,US,<=50K
30,5,Married,White,Male,0,0,32,Others,>50K
23,9,NotMarried,White,Male,0,0,40,US,<=50K
34,11,NotMarried,White,Male,27828,0,60,US,>50K
30,9,Married,White,Male,0,2057,48,US,<=50K
39,10,Married,White,Male,0,0,40,US,>50K
30,7,NotMarried,White,Male,0,1721,38,Others,<=50K
38,10,NotMarried,White,Female,0,0,38,US,<=50K
26,9,NotMarried,White,Female,0,0,40,US,<=50K
20,10,NotMarried,White,Male,0,0,16,US,<=50K
37,13,NotMarried,Black,Male,0,0,40,Others,<=50K
33,9,Married,White,Female,0,0,40,US,<=50K
24,13,NotMarried,White,Male,0,0,40,US,<=50K
42,13,Married,White,Male,0,0,60,US,>50K
51,9,Married,Asian-Pac-Islander,Male,3103,0,84,Others,<=50K
56,12,Married,White,Male,0,0,45,US,>50K
22,10,NotMarried,White,Male,0,0,40,US,<=50K
52,10,Married,White,Male,0,0,60,US,<=50K
44,13,NotMarried,White,Female,4934,0,45,US,>50K
34,9,Married,White,Female,4064,0,35,US,<=50K
51,10,NotMarried,White,Male,0,0,42,US,>50K
20,10,NotMarried,White,Male,0,0,40,US,<=50K
19,10,NotMarried,White,Female,0,0,25,US,<=50K
37,13,Married,White,Male,0,0,40,US,>50K
68,9,Married,Black,Male,0,0,40,US,>50K
22,10,NotMarried,White,Male,0,0,40,US,<=50K
56,13,Married,White,Male,0,0,40,US,<=50K
37,9,Married,White,Male,0,0,40,US,<=50K
52,2,Married,White,Male,0,0,40,Others,<=50K
26,9,NotMarried,White,Male,0,0,40,Others,<=50K
33,14,Married,White,Male,0,0,50,US,<=50K
45,14,NotMarried,White,Female,0,0,42,US,<=50K
18,7,NotMarried,White,Male,0,0,15,US,<=50K
43,10,Married,White,Male,0,0,60,US,>50K
64,16,Married,White,Male,15024,0,50,Others,>50K
18,9,NotMarried,White,Male,0,0,20,US,<=50K
20,10,NotMarried,White,Male,0,0,45,US,<=50K
57,9,Married,White,Male,0,0,40,US,>50K
41,9,NotMarried,White,Female,3674,0,42,US,<=50K
34,14,Married,White,Male,0,1887,50,US,>50K
19,9,NotMarried,White,Female,0,0,40,US,<=50K
44,5,NotMarried,White,Female,0,0,55,Others,<=50K
56,6,NotMarried,White,Female,0,0,40,US,<=50K
36,9,Married,White,Male,0,0,80,US,<=50K
48,13,NotMarried,White,Female,0,0,48,US,<=50K
29,9,Married,White,Male,0,0,40,US,>50K
33,13,NotMarried,White,Male,2174,0,40,US,<=50K
31,3,Married,White,Male,0,0,40,Others,<=50K
39,14,Married,White,Male,0,0,45,US,>50K
66,9,Married,White,Male,10605,0,40,US,>50K
27,13,NotMarried,White,Female,0,0,50,US,>50K
39,9,NotMarried,Black,Female,99999,0,40,US,>50K
59,4,Married,White,Male,5178,0,50,US,>50K
26,9,NotMarried,White,Female,0,0,40,US,<=50K
31,11,NotMarried,White,Male,0,0,40,US,<=50K
45,9,NotMarried,White,Female,0,0,40,Others,<=50K
23,9,NotMarried,White,Male,0,0,30,US,<=50K
36,9,NotMarried,White,Female,0,0,40,US,<=50K
34,10,Married,White,Female,0,0,12,US,>50K
32,9,Married,White,Male,0,0,84,US,>50K
37,13,Married,Black,Male,0,0,50,US,>50K
33,13,NotMarried,White,Male,0,0,45,US,<=50K
50,15,Married,White,Male,99999,0,80,US,>50K
32,12,NotMarried,Black,Male,0,0,40,US,<=50K
35,13,NotMarried,Black,Female,0,0,40,US,<=50K
37,7,Married,White,Male,0,0,40,US,<=50K
44,10,NotMarried,White,Male,0,0,60,US,<=50K
57,10,NotMarried,White,Male,0,0,25,US,<=50K
29,10,Married,White,Female,0,0,40,US,<=50K
55,9,Married,White,Male,0,0,50,US,>50K
43,15,Married,White,Male,0,0,25,US,>50K
43,10,Married,White,Male,0,0,70,US,<=50K
45,10,Married,White,Male,0,0,60,US,>50K
33,14,Married,White,Female,0,0,8,US,<=50K
26,6,NotMarried,White,Female,0,0,40,Others,<=50K
23,10,Married,White,Male,0,0,68,US,<=50K
41,4,NotMarried,White,Male,0,0,40,Others,<=50K
24,9,Married,White,Male,0,0,40,US,<=50K
47,13,Married,White,Male,0,0,44,US,<=50K
34,9,NotMarried,White,Male,0,0,45,US,<=50K
40,9,Married,White,Male,0,0,40,US,>50K
28,13,Married,Asian-Pac-Islander,Female,0,1485,40,US,<=50K
24,9,NotMarried,Asian-Pac-Islander,Female,0,0,40,Others,<=50K
73,10,Married,White,Male,0,0,10,US,<=50K
23,9,NotMarried,White,Male,0,0,15,US,<=50K
43,9,Married,Black,Male,0,0,40,US,>50K
26,13,NotMarried,White,Female,0,0,40,US,<=50K
58,16,Married,White,Female,0,1485,35,US,>50K
52,9,NotMarried,Black,Female,0,0,35,US,<=50K
29,7,Married,White,Male,0,0,99,US,>50K
47,7,Married,White,Male,0,0,35,Others,<=50K
49,9,NotMarried,Black,Female,0,0,37,US,<=50K
40,7,NotMarried,White,Female,0,0,40,US,<=50K
62,9,Married,White,Female,0,0,40,US,<=50K
49,9,Married,White,Male,0,1977,55,US,>50K
50,13,NotMarried,White,Female,0,0,50,US,>50K
31,9,NotMarried,Black,Male,0,0,40,US,<=50K
48,14,NotMarried,White,Female,0,0,50,US,<=50K
24,9,NotMarried,White,Female,0,0,40,US,<=50K
41,9,NotMarried,White,Female,3418,0,40,US,<=50K
37,9,NotMarried,Asian-Pac-Islander,Male,0,0,60,US,<=50K
45,13,Married,Asian-Pac-Islander,Male,0,0,45,Others,>50K
63,9,Married,White,Male,0,0,16,US,<=50K
36,14,Married,Asian-Pac-Islander,Male,0,0,45,Others,<=50K
45,13,Married,White,Male,0,0,40,US,<=50K
41,13,NotMarried,White,Female,0,0,40,US,<=50K
26,12,NotMarried,White,Female,0,0,20,US,<=50K
17,7,NotMarried,White,Female,0,0,25,US,<=50K
27,9,Married,White,Male,0,0,36,Others,<=50K
43,9,Married,White,Male,0,0,65,US,<=50K
35,9,NotMarried,White,Male,0,0,55,US,<=50K
38,13,NotMarried,White,Female,0,0,40,US,<=50K
26,9,NotMarried,White,Male,0,0,40,US,<=50K
28,10,NotMarried,White,Female,0,0,40,US,<=50K
38,13,Married,White,Female,0,0,24,US,>50K
36,7,NotMarried,White,Female,0,0,40,US,<=50K
33,9,Married,White,Female,0,0,40,US,>50K
19,9,NotMarried,White,Male,1055,0,70,US,<=50K
22,12,NotMarried,White,Male,0,0,25,US,<=50K
42,6,Married,White,Male,0,0,40,Others,<=50K
50,6,Married,White,Male,0,0,40,US,>50K
30,9,Married,White,Male,0,0,30,US,<=50K
37,10,Married,Asian-Pac-Islander,Male,0,0,40,Others,<=50K
54,15,Married,White,Male,99999,0,40,US,>50K
52,13,NotMarried,White,Male,0,0,40,US,<=50K
65,2,Married,Other,Male,0,0,40,Others,<=50K
33,9,NotMarried,White,Female,0,0,40,US,<=50K
25,10,NotMarried,White,Male,0,0,40,US,<=50K
24,13,NotMarried,White,Male,0,0,45,US,<=50K
26,11,NotMarried,Black,Female,114,0,40,US,<=50K
39,9,NotMarried,White,Male,0,0,40,US,>50K
59,9,NotMarried,White,Female,0,0,40,US,<=50K
29,10,NotMarried,White,Female,0,0,40,US,<=50K
47,7,NotMarried,White,Female,0,0,45,US,<=50K
23,10,NotMarried,White,Female,0,0,35,US,<=50K
64,9,Married,White,Male,0,0,50,US,<=50K
21,9,NotMarried,Other,Male,0,0,20,US,<=50K
32,10,Married,Black,Female,0,0,40,US,>50K
26,9,NotMarried,Black,Female,0,0,37,US,<=50K
19,10,NotMarried,Black,Female,0,0,20,US,<=50K
62,14,Married,White,Male,0,0,40,US,<=50K
32,13,Married,White,Male,0,0,55,US,>50K
75,6,Married,White,Female,0,0,5,US,<=50K
45,9,Married,White,Male,0,0,60,US,<=50K
31,13,Married,White,Male,0,1887,50,US,>50K
32,9,Married,White,Male,2580,0,40,US,<=50K
24,13,Married,White,Male,0,0,40,US,<=50K
25,13,NotMarried,White,Female,0,0,40,US,<=50K
41,9,Married,White,Male,0,0,60,US,<=50K
18,10,NotMarried,White,Female,0,0,20,US,<=50K
44,16,Married,White,Male,0,0,55,US,>50K
40,10,Married,White,Male,3411,0,50,US,<=50K
27,13,NotMarried,White,Male,0,0,40,US,<=50K
23,13,NotMarried,White,Male,0,0,40,US,<=50K
21,10,NotMarried,Other,Male,2174,0,40,US,<=50K
37,9,Married,White,Male,0,0,40,US,<=50K
65,9,Married,White,Male,0,0,48,US,<=50K
43,14,Married,White,Male,0,0,40,US,>50K
45,9,NotMarried,White,Male,0,0,44,US,<=50K
24,13,NotMarried,White,Female,0,0,40,US,<=50K
24,10,NotMarried,White,Male,0,0,42,US,<=50K
19,10,NotMarried,White,Male,0,1721,35,US,<=50K
37,13,Married,White,Male,0,0,65,US,>50K
24,9,NotMarried,White,Female,0,0,35,US,<=50K
34,10,Married,White,Male,0,0,40,Others,<=50K
50,9,Married,White,Female,0,0,39,US,<=50K
36,9,Married,White,Male,0,0,40,Others,<=50K
39,13,Married,White,Male,0,0,60,US,<=50K
44,4,Married,White,Male,0,0,38,US,<=50K
45,9,Married,White,Male,0,0,40,US,<=50K
32,7,NotMarried,White,Male,0,0,40,US,<=50K
47,14,Married,Black,Male,0,0,40,US,>50K
50,9,Married,White,Male,0,0,40,US,<=50K
32,11,Married,White,Male,0,0,40,US,<=50K
19,9,NotMarried,White,Male,0,0,40,US,<=50K
19,10,NotMarried,White,Female,0,0,20,US,<=50K
28,14,NotMarried,White,Male,0,0,10,Others,<=50K
28,9,NotMarried,White,Male,0,0,50,US,<=50K
39,14,NotMarried,White,Male,0,0,40,Others,>50K
21,10,NotMarried,White,Male,2907,0,40,US,<=50K
73,10,NotMarried,White,Female,0,0,75,US,<=50K
39,4,Married,White,Male,4508,0,40,Others,<=50K
25,10,NotMarried,White,Male,0,0,40,US,<=50K
31,10,Married,White,Female,0,0,20,US,<=50K
51,10,NotMarried,White,Female,0,0,32,US,<=50K
39,13,Married,White,Female,0,0,28,US,<=50K
31,13,NotMarried,White,Male,0,0,40,US,<=50K
21,10,NotMarried,Black,Male,0,0,17,US,<=50K
46,13,NotMarried,White,Male,27828,0,50,US,>50K
73,9,NotMarried,White,Female,0,0,35,US,<=50K
41,9,NotMarried,White,Male,0,0,40,US,<=50K
20,9,NotMarried,White,Male,0,0,40,US,<=50K
27,12,NotMarried,White,Male,0,0,30,US,<=50K
24,13,NotMarried,White,Male,0,0,35,US,<=50K
20,10,Married,White,Male,0,0,40,US,<=50K
39,11,NotMarried,White,Male,0,0,40,US,<=50K
27,13,NotMarried,White,Male,0,0,28,US,<=50K
33,7,Married,White,Male,0,0,60,US,<=50K
33,9,Married,Amer-Indian-Eskimo,Male,0,0,40,US,<=50K
36,5,Married,Black,Male,0,0,40,US,<=50K
55,10,Married,White,Male,0,0,36,US,<=50K
19,10,NotMarried,White,Male,0,0,40,US,<=50K
35,9,NotMarried,White,Male,0,0,60,US,<=50K
34,3,NotMarried,Asian-Pac-Islander,Male,0,0,40,Others,<=50K
62,15,NotMarried,White,Female,0,0,35,US,<=50K
33,10,Married,White,Male,0,0,40,US,>50K
39,5,Married,White,Male,4386,0,55,Others,<=50K
36,10,Married,White,Male,0,0,40,US,<=50K
41,13,NotMarried,White,Female,0,0,33,US,<=50K
39,9,Married,White,Male,0,0,60,US,<=50K
38,9,Married,White,Female,0,1887,10,US,>50K
18,9,NotMarried,White,Female,0,0,10,US,<=50K
61,10,Married,White,Male,15024,0,45,US,>50K
20,11,NotMarried,White,Female,0,0,36,US,<=50K
35,9,Married,White,Male,0,0,65,US,>50K
27,9,NotMarried,White,Male,0,0,40,US,<=50K
66,6,NotMarried,White,Female,0,0,38,US,<=50K
21,9,NotMarried,Black,Male,0,0,40,US,<=50K
20,10,NotMarried,White,Female,0,0,18,US,<=50K
34,10,NotMarried,White,Male,0,0,40,US,<=50K
